Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
328,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
332,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
337,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
341,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
345,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
351,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
355,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
360,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
365,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
369,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
374,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
379,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
383,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
390,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
395,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
400,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
406,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
411,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
416,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
422,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
