Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
97,105.771759,0.182365,40.895981,0.070510,40.895981,0.070510,0.000000,64.875778,40.895981,0.070510,81.820219,0.000675,16.944441,0.000140,0.041296,0.045866,121725.000000,121145.000000,512,580.000000,208.870690,0,41.811222,2
98,103.800849,0.201947,22.159397,0.043112,22.159397,0.043112,0.000000,81.641452,22.159397,0.043112,81.839569,0.044624,0.198117,0.000108,0.042726,0.062785,2348.000000,1834.000000,512,514.000000,3.568093,0,41.874007,2
99,88.949257,0.335658,8.637730,0.032595,8.637730,0.032595,0.000000,80.311527,8.637730,0.032595,80.393100,0.056298,0.081573,0.000057,0.032287,1.500000,1693.000000,1428.000000,512,265.000000,5.388679,0,43.374007,2
100,104.719217,0.170831,25.549421,0.041679,25.549421,0.041679,0.000000,79.169796,25.549421,0.041679,79.363291,0.023363,0.193495,0.000057,0.041364,1.196149,4010.000000,3397.000000,512,613.000000,5.541599,0,44.570156,2
101,103.979450,0.175345,25.246947,0.042575,25.246947,0.042575,0.000000,78.732503,25.246947,0.042575,79.275476,0.008682,0.542972,0.000059,0.041659,0.601499,9724.000000,9131.000000,512,593.000000,15.397976,0,45.171655,2
102,80.112124,2.584262,1.024852,0.033060,1.024852,0.033060,0.000000,79.087272,1.024852,0.033060,79.202409,0.035342,0.115137,0.000051,0.029346,0.154535,2272.000000,2241.000000,512,31.000000,72.290323,0,45.326190,2
103,99.619973,0.196102,21.945431,0.043200,21.945431,0.043200,0.000000,77.674542,21.945431,0.043200,77.838011,0.026476,0.163469,0.000056,0.042878,1.500000,3448.000000,2940.000000,512,508.000000,5.787402,0,46.826190,2
104,91.826185,0.246183,14.770753,0.039600,14.770753,0.039600,0.000000,77.055432,14.770753,0.039600,77.804211,0.006463,0.748779,0.000062,0.037592,0.754233,12412.000000,12039.000000,512,373.000000,32.276139,0,47.580423,2
105,98.968288,0.195977,21.830702,0.043229,21.830702,0.043229,0.000000,77.137586,21.830702,0.043229,77.226931,0.048297,0.089345,0.000056,0.043052,0.630960,2104.000000,1599.000000,512,505.000000,3.166337,0,48.211383,2
106,104.456048,0.168206,27.554585,0.044371,27.554585,0.044371,0.000000,76.901463,27.554585,0.044371,77.065158,0.026538,0.163695,0.000056,0.044108,0.298338,3525.000000,2904.000000,512,621.000000,4.676329,0,48.509721,2
107,100.391474,0.189776,23.513769,0.044449,23.513769,0.044449,0.000000,76.877705,23.513769,0.044449,77.650198,0.006206,0.772493,0.000062,0.042989,0.158893,13041.000000,12512.000000,512,529.000000,23.652174,0,48.668614,2
108,78.982335,4.646020,1.418660,0.083451,1.418660,0.083451,0.000000,77.563675,1.418660,0.083451,78.491596,0.005583,0.927921,0.000066,0.028867,0.050679,14075.000000,14058.000000,512,17.000000,826.941176,0,48.719293,2
109,94.751800,0.264670,17.462770,0.048779,17.462770,0.048779,0.000000,77.289031,17.462770,0.048779,78.215306,0.005508,0.926275,0.000065,0.046191,1.164477,14559.000000,14201.000000,512,358.000000,39.667598,0,49.883770,2
110,85.435290,0.469425,7.562314,0.041551,7.562314,0.041551,0.000000,77.872976,7.562314,0.041551,79.029747,0.004655,1.156771,0.000068,0.035195,0.304197,17158.000000,16976.000000,512,182.000000,93.274725,0,50.187968,2
111,102.595315,0.221588,23.718696,0.051228,23.718696,0.051228,0.000000,78.876620,23.718696,0.051228,80.586836,0.003456,1.710216,0.000073,0.047535,0.113051,23783.000000,23320.000000,512,463.000000,50.367171,0,50.301019,2
