Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica,__source__
45,23.037191,0.219402,4.83813,0.046077,4.83813,0.046077,0.0,18.199061,4.83813,0.046077,19.608413,0.000957,1.409352,6.9e-05,0.032655,0.816774,20593.0,20488.0,512.0,105.0,195.12381,0.0,24.36217,0,baseline
46,36.22542,0.075313,16.903936,0.035143,16.903936,0.035143,0.0,19.321484,16.903936,0.035143,19.744081,0.002806,0.422597,6e-05,0.034265,0.245086,7518.0,7037.0,512.0,481.0,14.629938,0.0,24.607255,0,baseline
47,31.273753,0.096524,11.731727,0.036209,11.731727,0.036209,0.0,19.542026,11.731727,0.036209,19.62737,0.01392,0.085344,6.1e-05,0.035946,0.170069,1734.0,1410.0,512.0,324.0,4.351852,0.0,24.777324,0,baseline
48,32.174046,0.089125,13.147322,0.036419,13.147322,0.036419,0.0,19.026725,13.147322,0.036419,19.368226,0.003281,0.341501,5.8e-05,0.035473,0.573632,6264.0,5903.0,512.0,361.0,16.351801,0.0,25.350956,0,baseline
49,33.604161,0.092829,14.34205,0.039619,14.34205,0.039619,0.0,19.262111,14.34205,0.039619,21.005026,0.00087,1.742915,7.2e-05,0.034804,0.075268,24505.0,24143.0,512.0,362.0,66.69337,0.0,25.426223,0,baseline
50,43.637869,0.074088,22.788594,0.03869,22.788594,0.03869,0.0,20.849275,22.788594,0.03869,24.084985,0.000619,3.23571,8.3e-05,0.033197,0.111514,39484.0,38895.0,512.0,589.0,66.035654,0.0,25.537738,0,baseline
51,38.108196,0.091827,14.080853,0.03393,14.080853,0.03393,0.0,24.027343,14.080853,0.03393,24.521708,0.003044,0.494365,6.1e-05,0.032739,0.003695,8470.0,8055.0,512.0,415.0,19.409639,0.0,25.541433,0,baseline
52,31.727973,0.144877,8.010729,0.036579,8.010729,0.036579,0.0,23.717245,8.010729,0.036579,24.281296,0.00256,0.564051,5.9e-05,0.034003,0.773054,9705.0,9486.0,512.0,219.0,43.315068,0.0,26.314487,0,baseline
53,45.417777,0.077373,21.715248,0.036994,21.715248,0.036994,0.0,23.702529,21.715248,0.036994,25.508769,0.00103,1.80624,7.3e-05,0.033917,0.54659,25345.0,24758.0,512.0,587.0,42.177172,0.0,26.861077,0,baseline
54,39.630697,0.095038,14.777752,0.035438,14.777752,0.035438,0.0,24.852945,14.777752,0.035438,25.967897,0.001596,1.114951,6.9e-05,0.032765,0.61067,16690.0,16273.0,512.0,417.0,39.023981,0.0,27.471747,0,baseline
