batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,replica
789,8,TBT,0,False,True,decode,11008,11010,0,0
793,0,TBT,0,False,True,decode,7408,7270,0,0
793,8,TBT,0,False,True,decode,11008,11010,0,0
798,0,TBT,0,False,True,decode,7408,7270,0,0
798,8,TBT,0,False,True,decode,11024,11010,0,0
800,0,TBT,0,False,True,decode,7408,7270,0,0
800,8,TBT,0,False,True,decode,11024,11010,0,0
803,0,TBT,0,False,True,decode,7408,7270,0,0
803,8,TBT,0,False,True,decode,11024,11010,0,0
809,0,TBT,0,False,True,decode,7408,7270,0,0
809,8,TBT,0,False,True,decode,11024,11010,0,0
812,0,TBT,0,False,True,decode,7424,7270,0,0
812,8,TBT,0,False,True,decode,11024,11010,0,0
814,0,TBT,0,False,True,decode,7424,7270,0,0
814,8,TBT,0,False,True,decode,11024,11010,0,0
818,0,TBT,0,False,True,decode,7424,7270,0,0
818,8,TBT,0,False,True,decode,11024,11010,0,0
823,0,TBT,0,False,True,decode,7424,7270,0,0
823,8,TBT,0,False,True,decode,11024,11010,0,0
826,0,TBT,0,False,True,decode,7424,7270,0,0
826,8,TBT,0,False,True,decode,11024,11010,0,0
829,0,TBT,0,False,True,decode,7424,7270,0,0
829,8,TBT,0,False,True,decode,11024,11010,0,0
833,0,TBT,0,False,True,decode,7424,7270,0,0
833,8,TBT,0,False,True,decode,11024,11010,0,0
837,0,TBT,0,False,True,decode,7424,7270,0,0
837,8,TBT,0,False,True,decode,11024,11010,0,0
842,0,TBT,0,False,True,decode,7424,7270,0,0
842,8,TBT,0,False,True,decode,11024,11010,0,0
844,0,TBT,0,False,True,decode,7424,7270,0,0
844,8,TBT,0,False,True,decode,11024,11010,0,0
848,0,TBT,0,False,True,decode,7424,7270,0,0
848,8,TBT,0,False,True,decode,11024,11010,0,0
852,0,TBT,0,False,True,decode,7424,7270,0,0
852,8,TBT,0,False,True,decode,11024,11010,0,0
856,0,TBT,0,False,True,decode,7424,7270,0,0
856,8,TBT,0,False,True,decode,11040,11010,0,0
859,0,TBT,0,False,True,decode,7424,7270,0,0
859,8,TBT,0,False,True,decode,11040,11010,0,0
862,0,TBT,0,False,True,decode,7424,7270,0,0
862,8,TBT,0,False,True,decode,11040,11010,0,0
866,0,TBT,0,False,True,decode,7424,7270,0,0
866,8,TBT,0,False,True,decode,11040,11010,0,0
869,0,TBT,0,False,True,decode,7440,7270,0,0
869,8,TBT,0,False,True,decode,11040,11010,0,0
872,0,TBT,0,False,True,decode,7440,7270,0,0
872,8,TBT,0,False,True,decode,11040,11010,0,0
874,0,TBT,0,False,True,decode,7440,7270,0,0
874,8,TBT,0,False,True,decode,11040,11010,0,0
877,0,TBT,0,False,True,decode,7440,7270,0,0
877,8,TBT,0,False,True,decode,11040,11010,0,0
880,0,TBT,0,False,True,decode,7440,7270,0,0
880,8,TBT,0,False,True,decode,11040,11010,0,0
884,0,TBT,0,False,True,decode,7440,7270,0,0
884,8,TBT,0,False,True,decode,11040,11010,0,0
885,0,TBT,0,False,True,decode,7440,7270,0,0
885,8,TBT,0,False,True,decode,11040,11010,0,0
888,0,TBT,0,False,True,decode,7440,7270,0,0
888,8,TBT,0,False,True,decode,11040,11010,0,0
892,0,TBT,0,False,True,decode,7440,7270,0,0
892,8,TBT,0,False,True,decode,11040,11010,0,0
896,0,TBT,0,False,True,decode,7440,7270,0,0
896,8,TBT,0,False,True,decode,11040,11010,0,0
900,0,TBT,0,False,True,decode,7440,7270,0,0
900,8,TBT,0,False,True,decode,11040,11010,0,0
905,0,TBT,0,False,True,decode,7440,7270,0,0
905,8,TBT,0,False,True,decode,11040,11010,0,0
910,0,TBT,0,False,True,decode,7440,7270,0,0
910,8,TBT,0,False,True,decode,11056,11010,0,0
915,0,TBT,0,False,True,decode,7440,7270,0,0
